id,tripname,area,longoftrip,difficulty,water,shadow,description
1,מסלול בעקבות הגיבורים - בנחל מעפילים,צפון,4 קמ,קל,כן,כן,"מכביש 672 יורדים לכביש 7212 הצר והיפה היורד לנשר, או שמטפסים בכביש זה מנשר. קרוב לסימון הקילומטר השלישי, פונים מזרחה לדרך העפר הנופית. כ-2.5 ק״מ מהכביש מגיעים לחניון נחל פעיל, בו ניתן לחנות, ומתחילים בטיול בשביל המסומן המוליך לנחל. ניתן לחנות גם בנקודת היציאה או בקצה המסלול ביגור. מסלול לא מאוד ארוך ומתאים לטיולי משפחות"
2,רכס באצבע,צפון,3 קמ,קל,לא,לא,"בצומת אורן בכביש 4 פונים מזרחה (ימינה לבאים מדרום) לכביש 721. אחרי כקילומטר פונים ימינה (דרומה), לחניון הגדול והמסודר של פתחת נחל אורן, בתוך כרם זיתים. נגישות לתחבורה ציבורית: צומת אורן על כביש 4, חצי ק""מ מהחניון."
3,נווה במדבר - בין עין פרת לעין מבוע,דרום,7 קמ,בינוני,כן,לא,"מירושלים נוסעים לכיוון מעלה אדומים וים המלח בכביש המנהרות החדש. עוברים את מחסום חיזמה, ועולים על כביש 437 מזרחה, בכיוון עלמון (ענתות). ניתן גם לנסוע לכיוון מעלה אדומים, וליד הכניסה לאזור התעשייה מעלה אדומים לפנות מערבה לכביש 437 לעלמון."
4,קסם לבן בחווארי מצדה,דרום,2 קמ,קל,לא,לא,"מתחילים את ההליכה בחניון האוטובוסים הנמצא מתחת למרכז המבקרים מצדה. מדרום מערב רואים שביל בסימון שחור, ממנו יורדים לנחל. לאחר כ-250 מטר מגיעים לצומת בין השביל בסימון השחור שבו הלכנו לשביל בסמין ירוק. מכיוון שזהו מסלול מעגלי, ניתן לפנות ימינה עם הסימון ירוק ואז לחזור בחזרה דרך השביל השחור. אך מומלץ להמשיך בהליכה בנחל על השביל השחור. אחרי שממשיכים ללכת בשביל השחור כ-400 מטר, מגיעים לצומת נוספת בין אותם השבילים. כאן יש לפנות ימינה לכיוון השביל הירוק, וללכת לכיוון מערב. בחלק זה חשוב מאוד לשים לב לסימון השבילים. לאחר הליכה של כ-500 מטר על השביל הירוק, חוזרים לפיצול השבילים הראשון מתחילת המסלול. בנקודה זאת פונים שמאלה על השביל השחור במעלה הנחל, וחוזרים כפי שבאתם לכיוון חניון האוטובוסים."
5,נחל חווארים,דרום,4 קמ,בינוני,לא,לא,"ניסע בכביש 40 מכיוון שדה בוקר למצפה רמון. כ-2 ק״מ דרומית לפנייה למדרשת שדה בוקר, נראה שלט המפנה שמאלה לבור חווארים, כאן נחנה את הרכב. חשוב לציין כי זהו מסלול לא מעגלי המחייב הקפצת רכב. מהחנייה של בור חווארים (בוייז: בור חווארים) נלך מערבה לפי סימון שבילים כחול, נרד לערוץ נחל חווארים, מייד משמאל נראה בור מים נבטי החצוב בסלע. הבור הוא שריד לשבט הנבטים הנודדים שחיו בנגב יותר מ-1,000 שנים, הם חצבו בורות מים שאספו את מי גשמי החורף ובזכותם שלטו על דרך הבשמים הידועה. מהבור נמשיך בערוץ, ונגיע לשער הצור – שני קירות סלע חום כהה היוצרים מעין שער גדול, סלע הצור קשה ועמיד יותר משאר הסלעים באזור ולכן יצר כאן שני קירות סלע בולטים. מעבר לשער הצור מתרחב הערוץ, נלך עוד כמה דקות עד שנגיע לגבעה שמראשה נשקפת תצפית מרהיבה על האזור נוף הבתרונות. נמשיך עם השביל היורד מזרחה וחוזר לערוץ, בקטע זה ערוץ הנחל עושה פיתול גדול, נלך בשלוחת סכין בין הערוץ הראשי לערוץ משני המתחבר לנחל. נרד שוב לערוץ הראשי. בהמשך הדרך מתרחב הנחל, כאן המסלע משתנה והופך לחוואר שהינו חומר רך המתפורר בקלות ויוצר נוף של מדרונות תלולים. לאחר הליכה של קילומטר נוסף נגיע לחניון הסרפנטינות כאן מסתיים הטיול – ולכאן יש להקפיץ רכב לאיסוף (בוייז: חניון הסרפנטינות)."
6,שביל החורש שתולה,צפון,2 קמ,קל,לא,כן,"מסלול 1 (מעגלי, מסומן באדום ולאחר מכן בשחור, כ-1 ק״מ): מתחילים ומסיימים בכביש 8993, מזרחית למושב שתולה, בצד הכביש ליד גדר בקר. מסלול 2 (מעגלי, מסומן בשחור, כ-1.5 ק״מ): מתחילים ומסיימים בשער בגדר ההיקפית של מושב שתולה. מסלול 3 (קווי, מסומן בשחור ולאחר מכן בכחול): מתחילים במושב שתולה, וממשיכים דרך נחל בצת עילי עד לחניון הסרנים. הליכה של כ-2 ק""מ, או 1 ק""מ עד העיקול בכביש. דורש שני רכבים."
7,שפך נחל שורק וחוף פלמחים,מרכז,5 קמ,בינוני,כן,כן,"נתחיל את ההליכה בשביל הסלול, שעובר מתחת לגשר כביש לפלמחים. השביל שמגיע עד סכר הסלעים מוביל אותנו אל אי הצבים, אותו יצרה רשות הטבע והגנים בשנת 2002. בקטע זה של הנחל קיימת אוכלוסייה יציבה של צב הביצות. זהו צב בעל שריון שטוח שאורכו מגיע עד 23 ס""מ. הצבים מבלים את רוב זמנם במים, אך מעת לעת יוצאים ""להשתזף"" בשמש בגדות הנחל והאי. כאשר הצבים חשים בסכנה, הם קופצים מיד למים. אוכלוסיית צב הביצות שרדה בנחל שורק משום שהוא מצליח, מעשה קסמים, להתקיים במים מזוהמים."
8,פארק השרון ויער חדרה,מרכז,6 קמ,בינוני,לא,כן,"בין רכסי הכורכר של ישובי השרון מסתתר לו פארק השרון, גן לאומי פתוח עם מרחבי צמחייה, פרדסים, אקליפטוסים ובריכות חורף, שהגדולה בהן היא בריכת יער שבחורף מגיעות אליה ציפורים רבות ביניהן עופות מים נדירים ובאביב סביב הבריכה פורחים פרחים בשלל צבעים"
9,קניון מפתיע בנחל קדש,צפון,2 קמ,בינוני,כן,כן,"מכביש 90 דרומית לראש פינה, פונים בצומת כ״ח לכביש 899 ועולים עד צומת ישע. פונים ימינה (בכיוון צפון) אל רחבת החניה של מצודת כ״ח (מצודת ישע). המסלול עובר דרך כמה מפלוני סלע וכולל טיפוס בערוץ מסולע וחלול מעט. למרות האתגרים שיש במסלול, הוא קצר יחסית ומתאים למשפחות חובבות לכת. בחלקה הראשון של הדרך יש תצפית יפה, והמסלול עטור פריחה באביב. בחודש מרץ פורחים במדרון הצפוני של הערוץ הצפוני כמה פרחי אירוס יפים במיוחד."
10,נחל כזיב,צפון,6 קמ,בינוני,כן,לא,"מכביש 899 נפנה דרומה אל תוך פארק גורן. הכביש הפנימי של פארק גורן יוביל אותנו דרומה בכיוון מצפה מונפורט, ומיד לאחר פנייתו מערבה נמצא את חניון המצפור (בווייז: חניון המצפור).

 

נתחיל את הטיול בחניון המצפור בשביל המסומן באדום, נלך כ-200 מטרים עד מצפור המונפורט שבו נוכל לצפות ביופיו המרהיב של המבצר הצלבני העתיק – מבצר מונפורט. נמשיך עם הסימון האדום בירידה של כקילומטר. נלך בתוך חורש אלונים המלווה בשיחי מרווה, אשר משתנה לנוף דולבים וצמחיית נחלים אופיינית ככל שנתקרב למים. כאשר נגיע לתוואי הנחל נפנה שמאלה, לכיוון מזרח, ונעבור לשביל המסומן בירוק. כמה מאות מטרים לאחר מכן נגיע לטחנת קמח הפועלת בכוח המים ושימשה את הנזירים שחיו במבצר הצלבני ואת תושבי האזור. נמשיך בשביל המסומן בירוק עוד 1.3 קי״מ עד שנגיע לפנייה ימינה ונתחיל את ההליכה במים. המסלול במים נמשך 1.4 ק״מ על השביל המסומן בירוק. הוא מסתיים בבריכת גן העדן המלאה כל ימות השנה במים קרירים וצלולים. אפשר להגיע לבריכה גם בלי הליכה במים, דרך שביל עפר."
